Name,Rkiname,Type,State,Ags,Lat,Long,Pop
Gelsenkirchen,SK Gelsenkirchen,Stadt,Nordrhein-Westfalen,05513,51.549491,7.0817139,259645
Münster,SK Münster,Stadt,Nordrhein-Westfalen,05515,51.952438,7.6264618,315293
Borken,LK Borken,Kreis,Nordrhein-Westfalen,05554,51.962198,6.9097557,371339
Coesfeld,LK Coesfeld,Kreis,Nordrhein-Westfalen,05558,51.864443,7.3713157,220586
Recklinghausen,LK Recklinghausen,Kreis,Nordrhein-Westfalen,05562,51.669264,7.165792,614137
Steinfurt,LK Steinfurt,Kreis,Nordrhein-Westfalen,05566,52.2116,7.581675,448220
Warendorf,LK Warendorf,Kreis,Nordrhein-Westfalen,05570,51.86986,7.9598364,277840
Bielefeld,SK Bielefeld,Stadt,Nordrhein-Westfalen,05711,52.011184,8.543212,334195
Gütersloh,LK Gütersloh,Kreis,Nordrhein-Westfalen,05754,51.931784,8.3548388,364938
Herford,LK Herford,Kreis,Nordrhein-Westfalen,05758,52.168789,8.6427584,250578
Höxter,LK Höxter,Kreis,Nordrhein-Westfalen,05762,51.685478,9.1884029,140251
Lippe,LK Lippe,Kreis,Nordrhein-Westfalen,05766,51.981325,8.9548684,347514
Minden-Lübbecke,LK Minden-Lübbecke,Kreis,Nordrhein-Westfalen,05770,52.352474,8.740944,310409
Paderborn,LK Paderborn,Kreis,Nordrhein-Westfalen,05774,51.662547,8.7303579,307839
Bochum,SK Bochum,Stadt,Nordrhein-Westfalen,05911,51.465371,7.2285467,365587
Dortmund,SK Dortmund,Stadt,Nordrhein-Westfalen,05913,51.512061,7.4796919,588250
Hagen,SK Hagen,Stadt,Nordrhein-Westfalen,05914,51.347057,7.4970114,188686
Hamm,SK Hamm,Stadt,Nordrhein-Westfalen,05915,51.66249,7.8263982,179916
Herne,SK Herne,Stadt,Nordrhein-Westfalen,05916,51.533785,7.2159088,156449
Ennepe-Ruhr-Kreis,LK Ennepe-Ruhr-Kreis,Kreis,Nordrhein-Westfalen,05954,51.34186,7.3263007,324106
Hochsauerlandkreis,LK Hochsauerlandkreis,Kreis,Nordrhein-Westfalen,05958,51.305556,8.3972543,259777
Märkischer Kreis,LK Märkischer Kreis,Kreis,Nordrhein-Westfalen,05962,51.260696,7.7139345,410222
Olpe,LK Olpe,Kreis,Nordrhein-Westfalen,05966,51.087234,7.9812283,133955
Siegen-Wittgenstein,LK Siegen-Wittgenstein,Kreis,Nordrhein-Westfalen,05970,50.937992,8.2058809,276944
Soest,LK Soest,Kreis,Nordrhein-Westfalen,05974,51.5647,8.2236358,301785
Unna,LK Unna,Kreis,Nordrhein-Westfalen,05978,51.575208,7.6417082,394891
Darmstadt,SK Darmstadt,Stadt,Hessen,06411,49.882743,8.6752367,159878
Frankfurt am Main,SK Frankfurt am Main,Stadt,Hessen,06412,50.116773,8.6598981,763380
Offenbach am Main,SK Offenbach,Stadt,Hessen,06413,50.089561,8.7984841,130280
Wiesbaden,SK Wiesbaden,Stadt,Hessen,06414,50.076486,8.2738994,278474
Bergstraße,LK Bergstraße,Landkreis,Hessen,06431,49.669855,8.6318551,270340
Darmstadt-Dieburg,LK Darmstadt-Dieburg,Landkreis,Hessen,06432,49.855994,8.8061081,297844
Groß-Gerau,LK Groß-Gerau,Landkreis,Hessen,06433,49.902901,8.4812779,275726
Hochtaunuskreis,LK Hochtaunuskreis,Landkreis,Hessen,06434,50.27895,8.5206755,236914
