Ags,Rkiname,Inzidenz,delta_1,delta_1_p,Lat,Long
09561,SK Ansbach,94.1,9.2,11.8,49.289653,10.573355
09562,SK Erlangen,76.9,5.6,8.7,49.581177,10.985761
09563,SK Fürth,178.7,2.7,1.8,49.488147,10.973388
09564,SK Nürnberg,166,6.6,4.1,49.435679,11.086215
09565,SK Schwabach,106.2,4.9,5.2,49.33246,11.031057
09571,LK Ansbach,137.4,13.2,11.2,49.160088,10.430621
09572,LK Erlangen-Höchstadt,100.3,7.5,8.6,49.677346,10.848502
09573,LK Fürth,111.6,1.8,1.8,49.443756,10.857838
09574,LK Nürnberger Land,113.4,3.8,3.8,49.490782,11.373909
09575,LK Neustadt a.d.Aisch-Bad Windsheim,125.8,9.4,7.6,49.566294,10.472122
09576,LK Roth,113.1,4,4.5,49.198729,11.130104
09577,LK Weißenburg-Gunzenhausen,112.6,0.4,0.4,49.029091,10.903037
09661,SK Aschaffenburg,117.6,12.9,11.7,49.965224,9.1598653
09662,SK Schweinfurt,150,21.8,17.4,50.042317,10.223202
09663,SK Würzburg,94.9,0.8,0.9,49.780016,9.9449642
09671,LK Aschaffenburg,99.7,10.6,11.2,50.0068,9.2512234
09672,LK Bad Kissingen,103.9,3.7,3.8,50.221197,9.9643468
09673,LK Rhön-Grabfeld,147.4,1.1,0.7,50.369698,10.257982
09674,LK Haßberge,157,9.8,7.7,50.058476,10.610977
09675,LK Kitzingen,87.6,3.3,5.1,49.748753,10.260365
09676,LK Miltenberg,103,1.9,2.2,49.756799,9.2445054
09677,LK Main-Spessart,96.9,4.1,4.8,49.991344,9.6680921
09678,LK Schweinfurt,103.3,14.5,16.4,49.935132,10.346527
09679,LK Würzburg,72.3,0.7,1.1,49.618894,10.001447
09761,SK Augsburg,148.9,9.8,6.7,48.341627,10.892835
09762,SK Kaufbeuren,148.6,12.7,10.9,47.884084,10.617797
09763,SK Kempten,159.5,6.7,5.7,47.739602,10.30596
09764,SK Memmingen,159.1,6.2,3.9,47.987559,10.162409
09771,LK Aichach-Friedberg,99.6,7.6,8.7,48.426496,11.058273
09772,LK Augsburg,121.4,1,0.9,48.396895,10.685283
09773,LK Dillingen a.d.Donau,87.4,0.5,0.6,48.599273,10.535961
09774,LK Günzburg,132.7,10.9,8,48.35839,10.385559
09775,LK Neu-Ulm,114.8,1,0.9,48.302863,10.142761
09776,LK Lindau,101.3,4.8,5,47.607267,9.885544
09777,LK Ostallgäu,179.2,15.3,9.9,47.69976,10.63783
