tag_nach_meldezeitraum,LKNR,count_michael,count_rki,diff,diff_round
2021-01-01,5122,77.86743696819367,77.8674369682,6.323830348264892e-12,0
2021-01-01,5124,151.78822866798086,151.788228668,1.9127810446661897e-11,0
2021-01-01,5154,96.97086073640247,96.9708607364,-2.4726887204451486e-12,-0
2021-01-01,5158,137.77622175999343,137.77622176,6.565414878423326e-12,0
2021-01-01,5162,152.0819958824962,152.0819958825,3.808509063674137e-12,0
2021-01-01,5166,204.1068984785671,204.1068984786,3.2883917810977437e-11,0
2021-01-01,5170,120.65846913752023,120.6584691375,-2.022204625973245e-11,-0
2021-01-01,5314,132.25226209001042,132.25226209,-1.043076736095827e-11,-0
2021-01-01,5315,94.86488647927175,94.8648864793,2.8251179173821583e-11,0
2021-01-01,5316,100.77628275992646,100.7762827599,-2.646061147970613e-11,-0
