Ags,Rkiname,Inzidenz_mean,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
03458,LK Oldenburg,91,111,131.4,9.5,5.2,11.4,26,13.4,9.1,20.7,30.3,15.9,12.2,23.1,39.4,19.3,15.5,24.6,40.8,21.3,19.1,27,42.1,26.5,22,32.6,48.7
03459,LK Osnabrück,88.7,108.2,122.1,16.1,16.2,22.5,25,19.4,18.9,26.9,30.3,20.3,19.3,27,31.2,21.1,20.7,27.5,31.5,21.7,21.4,28.4,32,23.8,24.6,29.8,32.9
03460,LK Vechta,189.1,255.8,315.6,0.6,0,0.1,0.4,0.8,0,0.2,0.5,0.8,0,0.3,0.5,0.9,0.2,0.5,0.7,1,0.2,0.5,0.9,1.2,0.4,0.6,1.2
03461,LK Wesermarsch,108.9,124.2,133.1,14.3,11,18.5,34,15.6,12.2,21.8,37.7,16.1,11.9,22.6,38.5,16.2,11.9,21,39.5,16.3,11.7,21.5,41.6,17.1,11.5,22.3,44.3
03462,LK Wittmund,50.4,69,84.1,16.2,6.7,25.3,47.7,17.5,7.3,27.2,48.1,18.4,8,28.5,48.6,19,11.4,28.7,49.5,19.3,11.4,29,50.4,19.7,12.9,29.4,49.1
04011,SK Bremen,109.7,132.9,166.1,0.7,0.3,0.7,1,1,0.6,1.1,1.3,1.2,0.9,1.2,1.6,1.5,1.2,1.6,2,1.7,1.4,1.7,2.2,1.6,1.6,2,2.4
04012,SK Bremerhaven,148.1,165,201,9.8,3,17.2,27.6,9.9,4.9,17.6,28.1,10.1,5.4,18,28.2,10.4,5.7,18,27.9,10.8,6,18.1,27.8,11.5,7,19.1,28.3
05111,SK Düsseldorf,101.5,140.2,151.3,1.9,1.2,2.5,4.6,1.9,1.2,2.4,4.4,1.8,1.1,2.3,4.3,1.7,1,2.1,4.2,1.7,1,2.1,4.2,1.8,1,2.1,4
05112,SK Duisburg,155.4,184.6,212.1,2.8,2.3,4.7,5.8,3.2,3,5.1,6.1,3.4,3.2,5.5,6.3,3.5,3.4,5.7,6.7,3.6,3.4,6,7.1,4,3.9,6.2,7.4
05113,SK Essen,115,139.2,161.9,0.6,0.1,0.3,1.3,0.6,0.2,0.4,1.3,0.7,0.2,0.5,1.3,0.7,0.3,0.4,1.4,0.7,0.3,0.5,1.3,0.7,0.3,0.6,1.4
